"cie10","nombre"
"I84","Hemorroides"
"K0830","Raíz dental retenida"
"G632","Polineuropatía diabética"
"A085","Otras infecciones intestinales especificadas"
"A151","Tuberculosis del pulmón, confirmada únicamente por cultivo"
"A152","Tuberculosis del pulmón, confirmada histológicamente"
"A153","Tuberculosis del pulmón, confirmada por medios no especificados"
"A16","Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente"
"A160","Tuberculosis pulmonar, sin mención de confirmación bacteriológica o histológica"
"A161","Tuberculosis de otros órganos respiratorios, sin mención de confirmación bacteriológica o histológica"
"A162","Tuberculosis pulmonar, sin confirmación bacteriológica o histológica"
"A163","Tuberculosis de ganglios linfáticos intratorácicos, sin confirmación bacteriológica o histológica"
"A167","Tuberculosis respiratoria primaria progresiva, sin confirmación bacteriológica o histológica"
"A168","Tuberculosis de otros órganos respiratorios especificados, sin confirmación bacteriológica o histológica"
"A169","Tuberculosis respiratoria no especificada, sin confirmación bacteriológica o histológica"
"A402","Septicemia debida a estreptococo, grupo D"
"A901","Fiebre del dengue [dengue clásico]"
"A97","Dengue"
"B0011","Dermatitis vesicular herpética"
"B041","Viruela de los monos"
"B07X0","Verrugas víricas"
"B0810","Otras infecciones víricas caracterizadas por lesiones de la piel y de las membranas mucosas, no clasificadas en otra parte"
"B200","Enfermedad por virus de la inmunodeficiencia humana [VIH], con infección por micobacterias"
