cie10,nombre,categoria,subcategoria
E10,Diabetes mellitus tipo 1,Metabólicas,Diabetes
E11,Diabetes mellitus tipo 2,Metabólicas,Diabetes
E12,Diabetes mellitus relacionada con desnutrición,Metabólicas,Diabetes
E13,Otras diabetes mellitus especificadas,Metabólicas,Diabetes
E14,Diabetes mellitus no especificada,Metabólicas,Diabetes
E66,Obesidad,Metabólicas,Obesidad
E660,Obesidad debida a exceso de calorías,Metabólicas,Obesidad
E661,Obesidad inducida por drogas,Metabólicas,Obesidad
E662,Obesidad extrema con hipoventilación alveolar,Metabólicas,Obesidad
E668,Otras obesidades,Metabólicas,Obesidad
E669,Obesidad no especificada,Metabólicas,Obesidad
E78,Trastornos del metabolismo de las lipoproteínas,Metabólicas,Dislipidemia
E780,Hipercolesterolemia pura,Metabólicas,Dislipidemia
E781,Hipergliceridemia pura,Metabólicas,Dislipidemia
E782,Hiperlipidemia mixta,Metabólicas,Dislipidemia
E783,Hipercolesterolemia familiar,Metabólicas,Dislipidemia
E784,Otras hiperlipidemias,Metabólicas,Dislipidemia
E785,Hiperlipidemia no especificada,Metabólicas,Dislipidemia
E790,Hiperuricemia sin signos de artritis inflamatoria,Metabólicas,Gota
E791,Hiperuricemia,Metabólicas,Gota
I10,Hipertensión esencial (primaria),Cardiovasculares,Hipertensión
I11,Enfermedad cardíaca hipertensiva,Cardiovasculares,Hipertensión
I110,Enfermedad cardíaca hipertensiva con insuficiencia cardíaca,Cardiovasculares,Hipertensión
I119,Enfermedad cardíaca hipertensiva sin insuficiencia cardíaca,Cardiovasculares,Hipertensión
I12,Enfermedad renal hipertensiva,Cardiovasculares,Hipertensión
I120,Enfermedad renal hipertensiva con insuficiencia renal,Cardiovasculares,Hipertensión
I129,Enfermedad renal hipertensiva sin insuficiencia renal,Cardiovasculares,Hipertensión
I13,Enfermedad cardíaca y renal hipertensiva,Cardiovasculares,Hipertensión
I15,Hipertensión secundaria,Cardiovasculares,Hipertensión
I20,Angina de pecho,Cardiovasculares,Cardiopatía isquémica
I21,Infarto agudo del miocardio,Cardiovasculares,Cardiopatía isquémica
I22,Infarto del miocardio subsecuente,Cardiovasculares,Cardiopatía isquémica
I23,Complicaciones posteriores a infarto agudo del miocardio,Cardiovasculares,Cardiopatía isquémica
I24,Otras enfermedades isquémicas agudas del corazón,Cardiovasculares,Cardiopatía isquémica
I25,Enfermedad isquémica crónica del corazón,Cardiovasculares,Cardiopatía isquémica
I42,Cardiomiopatías,Cardiovasculares,Miocardiopatía
I420,Cardiomiopatía dilatada,Cardiovasculares,Miocardiopatía
I421,Cardiomiopatía hipertrófica obstructiva,Cardiovasculares,Miocardiopatía
I50,Insuficiencia cardíaca,Cardiovasculares,Insuficiencia cardíaca
I500,Insuficiencia cardíaca congestiva,Cardiovasculares,Insuficiencia cardíaca
I501,Insuficiencia ventricular izquierda,Cardiovasculares,Insuficiencia cardíaca
I509,Insuficiencia cardíaca no especificada,Cardiovasculares,Insuficiencia cardíaca
I63,Infarto cerebral,Cardiovasculares,Enfermedad cerebrovascular
I64,Accidente vascular encefálico agudo no especificado,Cardiovasculares,Enfermedad cerebrovascular
I65,Oclusión y estenosis de arterias precerebrales,Cardiovasculares,Enfermedad cerebrovascular
I66,Oclusión y estenosis de arterias cerebrales,Cardiovasculares,Enfermedad cerebrovascular
I67,Otras enfermedades cerebrovasculares,Cardiovasculares,Enfermedad cerebrovascular
